word	file	lines
Adina	About.md	17
Adina	About.md	17
Audiographer	About.md	34
Audiography	About.md	35
chapt	About-the-Authors.md	3
chapt	About-this-Course.md	3
chapt	Adherence-practices.md	3
chapt	AI-acts,-orders,-and-regulations.md	3
chapt	AI-Possibilities-Case-Studies.md	3
chapt	Algorithm-considerations.md	3
chapt	Building-an-AI-advisory-team.md	3
chapt	Case-Studies.md	3
chapt	Consent-and-AI.md	3
chapt	Considerations-for-creating-an-AI-Policy.md	3
chapt	Customized-Interfaces-for-AI.md	3
chapt	Customized-Knowledge-for-AI.md	3
chapt	Customized-Security-for-AI.md	3
chapt	Demystifying-Types-of-AI.md	3
chapt	Determining-your-AI-needs.md	3
chapt	DISCUSSION-AI-Possibilities.md	3
chapt	DISCUSSION-AI-Types.md	3
chapt	DISCUSSION-How-AI-Works.md	3
chapt	DISCUSSION-Is-It-AI.md	3
chapt	Elements-of-an-AI-policy.md	3
chapt	Ethical-process.md	3
chapt	Evaluating-your-customized-AI-tool.md	3
chapt	Ground-Rules-for-AI.md	3
chapt	How-AI-Works.md	3
chapt	IDARE-and-AI.md	3
chapt	Introduction-to-Avoiding-AI-Harm.md	3
chapt	Introduction-to-Determining-AI-Needs.md	3
chapt	Introduction-to-Developing-AI-Policy.md	3
chapt	Introduction-to-Exploring-AI-Possibilities.md	3
chapt	Introduction.md	3
chapt	Other-laws-to-consider.md	3
chapt	References.md	3
chapt	Societal-Impact.md	3
chapt	What-AI-Makes-Possible.md	3
chapt	What-are-the-components-of-AI?.md	3
chapt	What-Is-Artificial-Intelligence.md	3
chapt	Why-do-I-need-an-AI-policy?.md	3
creativecommons	LICENSE.md	378,395
DISCOVERABLE	LICENSE.md	286
enforceability	LICENSE.md	359
faq	code_of_conduct.md	123
FirstName	About.md	12,111
fredhutch	README.md	23
Funder	About.md	30
Funder	About.md	37
Funder	About.md	30
Generis	LICENSE.md	85,123,262,264,271
https	code_of_conduct.md	117,123,124
Humphries	About.md	12,13,16,20,27,28
Humphries	About.md	12,13,16,20,27,28
ies	LICENSE.md	112
iframe	About-the-Authors.md	3
iframe	About-this-Course.md	3
iframe	Adherence-practices.md	3
iframe	AI-acts,-orders,-and-regulations.md	3
iframe	AI-Possibilities-Case-Studies.md	3
iframe	Algorithm-considerations.md	3
iframe	Building-an-AI-advisory-team.md	3
iframe	Case-Studies.md	3
