url	chapt_title	img_path
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/index.html	About this Course	resources/chapt_screen_images/index.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-summary-of-this-course.html	1 VIDEO Summary of This Course	resources/chapt_screen_images/video-summary-of-this-course.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/introduction.html	2 Introduction	resources/chapt_screen_images/introduction.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/introduction-to-ai-possibilities.html	3 Introduction to AI Possibilities	resources/chapt_screen_images/introduction-to-ai-possibilities.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-what-is-ai.html	4 VIDEO What Is AI	resources/chapt_screen_images/video-what-is-ai.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/what-is-artificial-intelligence.html	5 What Is Artificial Intelligence	resources/chapt_screen_images/what-is-artificial-intelligence.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/ai-case-studies.html	6 AI Case Studies	resources/chapt_screen_images/ai-case-studies.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-how-ai-works.html	7 VIDEO How AI Works	resources/chapt_screen_images/video-how-ai-works.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/how-ai-works.html	8 How AI Works	resources/chapt_screen_images/how-ai-works.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-different-types-of-ai.html	9 VIDEO Different Types of AI	resources/chapt_screen_images/video-different-types-of-ai.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/demystifying-types-of-ai.html	10 Demystifying Types of AI	resources/chapt_screen_images/demystifying-types-of-ai.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-real-life-possibilities.html	11 VIDEO Real Life Possibilities	resources/chapt_screen_images/video-real-life-possibilities.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/what-is-possible.html	12 What Is Possible	resources/chapt_screen_images/what-is-possible.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-what-is-possible.html	13 VIDEO What Is Possible	resources/chapt_screen_images/video-what-is-possible.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-what-is-not-possible.html	14 VIDEO What Is NOT Possible	resources/chapt_screen_images/video-what-is-not-possible.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/ground-rules-for-ai.html	15 Ground Rules for AI	resources/chapt_screen_images/ground-rules-for-ai.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/video-knowing-the-ground-rules.html	16 VIDEO Knowing the Ground Rules	resources/chapt_screen_images/video-knowing-the-ground-rules.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/introduction-to-avoiding-ai-harm.html	17 Introduction to Avoiding AI Harm	resources/chapt_screen_images/introduction-to-avoiding-ai-harm.png
https://hutchdatascience.org/AI_for_Decision_Makers/no_toc/societal-impact.html	18 Societal Impact	resources/chapt_screen_images/societal-impact.png
